iter	Logloss
218	0.4401831134
219	0.4401502818
220	0.4400605228
221	0.44002312
222	0.4399983826
223	0.439866813
224	0.439863286
225	0.43980954
226	0.439770248
227	0.4397372071
228	0.4396927344
229	0.4396700364
230	0.4396122472
231	0.4395862504
232	0.4395740563
233	0.4395460845
234	0.439487178
235	0.4394593906
236	0.4394076673
237	0.4393860464
238	0.4393793727
239	0.4393405476
240	0.4392889494
241	0.4392460358
242	0.4392100404
243	0.4391734634
244	0.4391449176
245	0.4391185167
246	0.4390846505
247	0.4390359551
248	0.4389975448
249	0.4389580257
250	0.4389424583
251	0.4389108134
252	0.4388906444
253	0.4388635678
254	0.4388256835
255	0.4387676144
256	0.4387338089
257	0.4387117804
258	0.4386890642
259	0.4386704598
260	0.4386445887
261	0.4385908852
262	0.4385698166
263	0.4385551643
264	0.4385069201
265	0.4384787505
266	0.43845451
267	0.4384383823
268	0.4383889778
269	0.4383410969
270	0.4382884703
271	0.4382399923
272	0.4381863614
273	0.4381413058
274	0.438061157
275	0.4380428915
276	0.4380137168
277	0.4379974356
278	0.4379928103
279	0.4379839289
280	0.4379717602
281	0.4379492802
282	0.4379093784
283	0.4378707656
284	0.4378479962
285	0.4378391806
286	0.4377533825
287	0.4377335069
288	0.4376878234
289	0.4376561389
290	0.4376091364
291	0.4375780614
292	0.4375608593
293	0.4375260344
294	0.4374477158
295	0.4374251762
296	0.4373922925
297	0.4373527501
298	0.4373015609
299	0.4372665666
300	0.4372112327
301	0.4371833041
302	0.4371482043
303	0.4371268267
304	0.4371027355
305	0.4370780547
306	0.4370560977
307	0.4370006366
308	0.4368918091
309	0.4368548486
310	0.4368326043
311	0.436785807
312	0.4367204223
313	0.4367099687
314	0.4366253665
315	0.4365284955
316	0.4364462623
317	0.4364279937
318	0.4363840275
319	0.4363118577
320	0.4362774761
321	0.4361729525
322	0.4361561068
323	0.4360916756
324	0.4360203755
325	0.4359681838
326	0.4358985876
327	0.4358701869
328	0.4358024548
329	0.4357510311
330	0.4357349823
331	0.4356369713
332	0.4355929565
333	0.4355812994
334	0.4355243458
335	0.4354599759
336	0.4353590588
337	0.4352878467
338	0.4352646743
339	0.4352344354
340	0.4351643202
341	0.4350926197
342	0.4350322799
343	0.4350108332
344	0.4349790343
345	0.4348952334
346	0.4348501603
347	0.4348116942
348	0.4347706539
349	0.4346844233
350	0.4346565482
351	0.4345668855
352	0.4345305054
353	0.4344841787
354	0.4344433137
355	0.4343852911
356	0.4343206953
357	0.4341433234
